,Название фильма,Дата начала показа фильма,Аннотация,Вид Фильма,Категория,Цвет,"Продолжительность демонстрации, часы","Продолжительность демонстрации, минуты",Формат носителя,Студия-производитель,Страна производства,Год производства,Режиссер,Художник,Сценарист,Оператор,Композитор,Продюсер,Возрастная категория
345274,Амбивалентность,2018-08-11,Драма,Художественный,Кино,Цветной,1.0,117.0,HDD,"ООО ""СТР-Продакшн""",Россия,2018,А.Бильжо,Р.Османов,"С.Тарамаев, Л.Львова",А.Мартынов,"В.Маевский, А.Туркунов","А.Темникова, О.Цирсен",18+
345275,Основано на реальных событиях,2018-09-15,Триллер,Художественный,Кино,Цветной,1.0,100.0,HDD,"Вай Продюксьон, Эр Пэ Продюксьон, Марс Фильм, Франс 2 Синема, Монолит Фильм, Белг Продюксьон, Кофинова 13, Синевентюр 2, Канал +, Сине +, Франс Телевизьон, Полиш Филм Институт",Франция - Польша - Бельгия,2017,Роман Полански,Жан Рабасс,"Оливье Ассайас, Дэльфин Де Виган, Роман Полански",Павел Эдельман,Александр Деспла,"Вассим Беджи, Глэдис Брукфилд-Хэмпсон, Фабрис Дельвиль",16+
345276,"Отель ""Артемида""",2018-08-23,Боевик,Художественный,Кино,Цветной,1.0,94.0,HDD,"Инк Фэктори, Марк Платт Продакшнз, Пойнт оф Но Ретюрн",Великобритания - США,2018,Дрю Пирс,Рэмси Эйвери,Дрю Пирс,Чон Джон-хун,Клифф Мартинес,"Саймон Корнуэлл, Стивен Корнуэлл, Марк Э.Платт",18+
345277,БУНКЕР-42. КАПСУЛА ВРЕМЕНИ,2018-08-16,Документальный фильм,Документальный,Кино,Цветной,0.0,39.0,Другой,"ООО ""Киноконтест""",Россия,2018,Е.Белова,,Е.Белова,С.Пашков,,В.Арцруни,12+
345278,Игра,2018-08-12,Психологический триллер,Художественный,Кино,Цветной,1.0,104.0,DPX,"ООО ""Киностудия Мавр""",Россия,2018,Д.Астрахан,А.Каменец,О.Данилов,А.Майка,Г.Белкин,"ООО ""Солярис Промо Продакшн"", Д.Астрахан, П.Арустамова",16+
345279,Крымский партизан Витя Коробков; Героизм по наследству. Аркадий и Николай Каманины,,О подвиге мальчиков в годы войны,Документальный,Кино,Цветной,1.0,77.0,Другой,"ООО ""Санрайз Пикчерс""",Россия,2018,Л.Касаткина,,"Л.Касаткина, О.Корепанова, при участии Ю.Лавряшиной","С.Федоров, А.Муратов, М.Агафонов, Н.Тарханов","М.Кравченко, А.Хрипунов","Н.Бородачев, В.Тельнов, Л.Кубарева, Э.Касаткина, А.Муратов",6+
345280,ТРАССА,2018-08-16,Документальный фильм,Документальный,Кино,Цветной,0.0,26.0,Другой,"ООО ""Творческое объединение ""ГЛОБУСФИЛЬМ""",Россия,2018,М.Бигоцкий,,М.Бигоцкий,И.Гордюшев,,"М.Казакова, В.Краснов",12+
345282,Лорик,2018-08-12,Трагикомедия,Художественный,Кино,Цветной,1.0,95.0,HDD,Минасян Мартирос Константинович,Россия,2018,А.Злобин,А.Казарян,"А.Злобин, М.Саакян",В.Тер-Акопян,Д.Аладжян,"М.Минасян, М.Погосян",18+
345283,ЛИКИ ПРОВИНЦИИ,2018-08-12,Документальный фильм,Документальный,Кино,Цветной,0.0,52.0,Другой,"ООО ""ШАМС""",Россия,2018,Л.Кулагина,,Л.Кулагина,С.Пашков,,В.Арцруни,12+
345286,ДАРОВАНИЕ ТРЕЗВОСТИ,2018-08-17,Документальный фильм о вреде алкоголя,Документальный,Кино,Цветной,0.0,39.0,Другой,"ООО ""Киноконтест""",Россия,2018,Н.Антонов,,Н.Антонов,С.Пашков,,В.Арцруни,16+
345287,Отмеченный перстом Божиим...,2018-09-02,Документальный фильм,Документальный,Кино,Цветной,1.0,80.0,BETACAM–кассета,"Местная религиозная организация ""Кирилло-Афанасиевский мужской монастырь г.Ярославля Ярославской Епархии Русской Православной Церкви""",Россия,2018,Е.Дворецкая (псевдоним - Елена Лобачева-Дворецкая),,Б.Федоров (Игумен Никодим),А.Лобачев-Дворецкий,,А.Лобачев-Дворецкий,6+
